"If [A]","Distance [meter]","B_Rad2 []"
500,0,-0.00124201586624791
500,0.00485345,-0.0192744370108509
500,0.0097069,-0.0378357748329974
500,0.01456035,-0.0553956582516653
500,0.0194138,-0.0670714543167195
500,0.02426725,-0.0654036624740496
500,0.0291207,-0.073593944874004
500,0.03397415,-0.0883513170148166
500,0.0388276,-0.121295213444987
500,0.04368105,-0.162435798251006
500,0.0485345,-0.197283042354105
500,0.05338795,-0.229908582049687
500,0.0582414,-0.267821736876174
500,0.06309485,-0.312116210748638
500,0.0679483,-0.362960154529045
500,0.07280175,-0.42735539058228
500,0.0776552,-0.48665422576779
500,0.08250865,-0.573548910252966
500,0.0873621,-0.611730870385706
500,0.09221555,-0.688395392230964
500,0.097069,-0.772667996733316
500,0.10192245,-0.937448881272185
500,0.1067759,-1.03484667262718
500,0.11162935,-1.11128115552445
500,0.1164828,-1.15868637541981
500,0.12133625,-1.1698747554333
500,0.1261897,-1.17206014788153
500,0.13104315,-1.17382765547356
500,0.1358966,-1.17043696583164
500,0.14075005,-1.16347835888444
500,0.1456035,-1.13322737720931
500,0.15045695,-1.07261314436215
500,0.1553104,-0.951696548343307
500,0.16016385,-0.940582778076038
500,0.1650173,-0.94645282635545
500,0.16987075,-0.983904116130257
500,0.1747242,-1.07387325511078
500,0.17957765,-1.14719929486372
500,0.1844311,-1.17385171955842
500,0.18928455,-1.17275860381119
500,0.194138,-1.17822249635223
500,0.19899145,-1.17528774718186
500,0.2038449,-1.17765424747995
500,0.20869835,-1.1509930268022
500,0.2135518,-1.11644295327494
500,0.21840525,-1.0005601663555
500,0.2232587,-0.935769043298056
500,0.22811215,-0.927917115741338
500,0.2329656,-0.993182374195481
500,0.23781905,-1.02646567775063
500,0.2426725,-1.13765055832002
500,0.24752595,-1.18442968973497
500,0.2523794,-1.17752259469001
500,0.25723285,-1.17915166712092
500,0.2620863,-1.17581283980388
500,0.26693975,-1.17881238517184
500,0.2717932,-1.15995688154875
500,0.27664665,-1.12206914335976
500,0.2815001,-0.995170330075228
500,0.28635355,-0.981945881528082
500,0.291207,-0.930669046444675
500,0.29606045,-0.902099843181566
500,0.3009139,-1.03042067355692
500,0.30576735,-1.10168196215162
500,0.3106208,-1.15795078335998
500,0.31547425,-1.16146434429629
500,0.3203277,-1.17013822483856
500,0.32518115,-1.16951211466615
500,0.3300346,-1.16886937411366
500,0.33488805,-1.1391061110711
500,0.3397415,-1.11685658716434
500,0.34459495,-1.00570615863523
500,0.3494484,-0.969563121748487
500,0.35430185,-0.915695798723452
500,0.3591553,-0.943748696350463
500,0.36400875,-1.02447047025335
500,0.3688622,-1.05022699648647
500,0.37371565,-1.11874748155989
500,0.3785691,-1.14744350904366
500,0.38342255,-1.17856184772151
500,0.388276,-1.17714895525062
500,0.39312945,-1.1765728726635
500,0.3979829,-1.17853929035238
500,0.40283635,-1.13740500468427
500,0.4076898,-1.07045871971194
500,0.41254325,-0.925976642171836
500,0.4173967,-0.952770682442988
500,0.42225015,-0.939428493260619
500,0.4271036,-1.01628787834079
500,0.43195705,-1.0593703821207
500,0.4368105,-1.14954616298592
500,0.44166395,-1.15100519412408
500,0.4465174,-1.18328052704848
500,0.45137085,-1.18152944128256
500,0.4562243,-1.1715858531855
500,0.46107775,-1.17161149160996
500,0.4659312,-1.13826709181829
500,0.47078465,-1.09923988013914
500,0.4756381,-1.04161371349933
500,0.48049155,-0.941149394508493
500,0.485345,-0.933235999860624
500,0.49019845,-0.997136045343044
500,0.4950519,-1.0521590720398
500,0.49990535,-1.14834527334375
500,0.5047588,-1.09981890033848
500,0.50961225,-0.978350316334886
500,0.5144657,-0.820196160300098
500,0.51931915,-0.677729348035358
500,0.5241726,-0.568602890862282
500,0.52902605,-0.476924455330727
500,0.5338795,-0.396113911725979
500,0.53873295,-0.325701823972463
500,0.5435864,-0.24339439435799
500,0.54843985,-0.231888349865685
500,0.5532933,-0.208874771593069
500,0.55814675,-0.170946131684887
500,0.5630002,-0.169202391433744
500,0.56785365,-0.157952341816073
500,0.5727071,-0.133287109979735
500,0.57756055,-0.108526526784374
500,0.582414,-0.0856528614621408
500,0.58726745,-0.0668650967504487
500,0.5921209,-0.0467095532123889
500,0.59697435,-0.0337205341851312
500,0.6018278,-0.0150597872169157
500,0.60668125,-0.001670940886959
500,0.6115347,0.00752508952527648
500,0.61638815,0.0272744803528253
500,0.6212416,0.0401332682372075
500,0.62609505,0.0563623272136897
500,0.6309485,0.0762910782507873
500,0.63580195,0.0973286559947559
500,0.6406554,0.119997226058502
500,0.64550885,0.143878836754012
500,0.6503623,0.16863717873122
500,0.65521575,0.202149455448984
500,0.6600692,0.207577479969375
500,0.66492265,0.24348850193522
500,0.6697761,0.251404323106768
500,0.67462955,0.22885664797274
500,0.679483,0.324702950045492
500,0.68433645,0.406052830552096
500,0.6891899,0.479887759725314
500,0.69404335,0.642804002221023
500,0.6988968,0.808692038065299
500,0.70375025,0.956114082863001
500,0.7086037,1.09055631335082
500,0.71345715,1.17636170340639
500,0.7183106,1.19528827600076
500,0.72316405,1.21513524561299
500,0.7280175,1.15705924878112
500,0.73287095,1.04382948514377
500,0.7377244,1.00306064004479
500,0.74257785,0.924383877658048
500,0.7474313,0.932809028929673
500,0.75228475,0.939206154529781
500,0.7571382,1.07527944391762
500,0.76199165,1.13116495161589
500,0.7668451,1.1683820402774
500,0.77169855,1.16874244526462
500,0.776552,1.17428849833671
500,0.78140545,1.17268722589272
500,0.7862589,1.17495373628469
500,0.79111235,1.16464184766696
500,0.7959658,1.10212331733758
500,0.80081925,0.987320571152801
500,0.8056727,0.913374103211567
500,0.81052615,0.917758535166161
500,0.8153796,0.944737474330046
500,0.82023305,1.06447876188688
500,0.8250865,1.13340647279301
500,0.82993995,1.15226203855075
500,0.8347934,1.1736752140635
500,0.83964685,1.17130596340643
500,0.8445003,1.16922480172326
500,0.84935375,1.17277118998263
500,0.8542072,1.16082264301087
500,0.85906065,1.1020559349361
500,0.8639141,1.00964685637869
500,0.86876755,0.953030183004562
500,0.873621,0.908846684259689
500,0.87847445,0.957793815107858
500,0.8833279,1.04594151713314
500,0.88818135,1.11365981138963
500,0.8930348,1.13926938084684
500,0.89788825,1.1685149052791
500,0.9027417,1.17223238414781
500,0.90759515,1.17147815974423
500,0.9124486,1.1681655884837
500,0.91730205,1.17437191941684
500,0.9221555,1.12121792176423
500,0.92700895,1.05936826034751
500,0.9318624,1.00015014027685
500,0.93671585,0.929200597810712
500,0.9415693,0.94623613827652
500,0.94642275,0.99760410177263
500,0.9512762,1.11275552032294
500,0.95612965,1.14316803549491
500,0.9609831,1.17170298874055
500,0.96583655,1.16866533565245
500,0.97069,1.16657484358267
500,0.97554345,1.1680050277046
500,0.9803969,1.17027087652599
500,0.98525035,1.14210994384755
500,0.9901038,1.09443138718876
500,0.99495725,1.00284835399418
500,0.9998107,0.907856312291996
500,1.00466415,0.932444532737456
500,1.0095176,0.985394862299549
500,1.01437105,1.05773887237256
500,1.0192245,1.13433214405841
500,1.02407795,1.18104489816291
500,1.0289314,1.1768109517976
500,1.03378485,1.17442760225812
500,1.0386383,1.17238914813028
500,1.04349175,1.169762378045
500,1.0483452,1.14430799785502
500,1.05319865,1.0968004364528
500,1.0580521,0.988785770552985
500,1.06290555,0.960275652934262
500,1.067759,0.925220654401145
500,1.07261245,0.969792716830384
500,1.0774659,1.04505877134727
500,1.08231935,1.12064943765721
500,1.0871728,1.16600670754508
500,1.09202625,1.19358079633717
500,1.0968797,1.19516212398828
500,1.10173315,1.17800184115203
500,1.1065866,1.15456363211663
500,1.11144005,1.06839766594085
500,1.1162935,0.934193539564279
500,1.12114695,0.699626741852522
500,1.1260004,0.566016267792974
500,1.13085385,0.441273210911739
500,1.1357073,0.395438950564899
500,1.14056075,0.380896919395039
500,1.1454142,0.366022767026886
500,1.15026765,0.314731996193954
500,1.1551211,0.278217775117723
500,1.15997455,0.237434758835911
500,1.164828,0.201087690337179
500,1.16968145,0.169211875625999
500,1.1745349,0.1380285824501
500,1.17938835,0.11531819120061
500,1.1842418,0.0919344171109092
500,1.18909525,0.0671251181932775
500,1.1939487,0.054175931588956
500,1.19880215,0.0417216286378114
500,1.2036556,0.0243731398007015
500,1.20850905,0.0199635769025984
500,1.2133625,0.00897317328842782
500,1.21821595,-0.00755992482492101
500,1.2230694,-0.0276298519617175
500,1.22792285,-0.0474282788555174
500,1.2327763,-0.0673838366328408
500,1.23762975,-0.0906690125383642
500,1.2424832,-0.109897218139242
500,1.24733665,-0.132241476556183
500,1.2521901,-0.154707426530939
500,1.25704355,-0.151519851178347
500,1.261897,-0.158474022583906
500,1.26675045,-0.175576383790168
500,1.2716039,-0.232039771023064
500,1.27645735,-0.285843413391107
500,1.2813108,-0.335983311030344
500,1.28616425,-0.407095637936977
500,1.2910177,-0.476409149885145
500,1.29587115,-0.56315492389743
500,1.3007246,-0.671349364324856
500,1.30557805,-0.812227580469759
500,1.3104315,-0.961256260378127
500,1.31528495,-1.00790917832643
500,1.3201384,-1.01910275882215
500,1.32499185,-0.944445797475939
500,1.3298453,-0.95399221840532
500,1.33469875,-1.01189204514515
500,1.3395522,-1.06976902329962
500,1.34440565,-1.12079460617595
500,1.3492591,-1.13663919849958
500,1.35411255,-1.16300964500028
500,1.358966,-1.16384172087719
500,1.36381945,-1.17095821572973
500,1.3686729,-1.1772190832232
500,1.37352635,-1.1348952471205
500,1.3783798,-1.06575316701053
500,1.38323325,-1.02117110899542
500,1.3880867,-0.935050127453475
500,1.39294015,-0.937924689655115
500,1.3977936,-0.96975824381391
500,1.40264705,-1.09191139345498
500,1.4075005,-1.12303892876762
500,1.41235395,-1.14613497635848
500,1.4172074,-1.17501811836877
500,1.42206085,-1.17727257032522
500,1.4269143,-1.1721974286487
500,1.43176775,-1.17445582325757
500,1.4366212,-1.14090836138362
500,1.44147465,-1.14708842836712
500,1.4463281,-1.03130663908855
500,1.45118155,-0.914361144119765
500,1.456035,-0.917168274234366
500,1.46088845,-0.914404106204603
500,1.4657419,-1.03803799161036
500,1.47059535,-1.10384143036244
500,1.4754488,-1.14365449292044
500,1.48030225,-1.17260530355811
500,1.4851557,-1.17103031903224
500,1.49000915,-1.17529593474953
500,1.4948626,-1.17226597418375
500,1.49971605,-1.14785064734149
500,1.5045695,-1.13328391349596
500,1.50942295,-1.07889346511427
500,1.5142764,-0.959066450132545
500,1.51912985,-0.924101591445795
500,1.5239833,-0.926257234711034
500,1.52883675,-0.984729811715537
500,1.5336902,-1.07712126397958
500,1.53854365,-1.14497618984774
500,1.5433971,-1.17794289072643
500,1.54825055,-1.17257157236963
500,1.553104,-1.17113917543093
500,1.55795745,-1.17166298268972
500,1.5628109,-1.14659796222701
500,1.56766435,-1.14759249725806
500,1.5725178,-1.08637914578257
500,1.57737125,-0.988738049157508
500,1.5822247,-0.930484909652549
500,1.58707815,-0.916258852930844
500,1.5919316,-0.98743855677864
500,1.59678505,-1.06056909940607
500,1.6016385,-1.13598803171363
500,1.60649195,-1.17112544661291
500,1.6113454,-1.17566603261292
500,1.61619885,-1.17768113569572
500,1.6210523,-1.17629235478829
500,1.62590575,-1.171240954617
500,1.6307592,-1.15992350229613
500,1.63561265,-1.11689418819635
500,1.6404661,-1.01581007622022
500,1.64531955,-0.943669669634907
500,1.650173,-0.889810999436384
500,1.65502645,-0.967534967995902
500,1.6598799,-1.06266611065996
500,1.66473335,-1.10965638522518
500,1.6695868,-1.15111235174094
500,1.67444025,-1.1741025446935
500,1.6792937,-1.16697231525157
500,1.68414715,-1.16547780613065
500,1.6890006,-1.16454823381314
500,1.69385405,-1.16427664708867
500,1.6987075,-1.1247055403959
500,1.70356095,-1.0480728331742
500,1.7084144,-1.00305735034825
500,1.71326785,-0.942183200199805
500,1.7181213,-0.89051632321095
500,1.72297475,-0.817248664642187
500,1.7278282,-0.784154828096833
500,1.73268165,-0.662951087075005
500,1.7375351,-0.583592283376487
500,1.74238855,-0.486015580126001
500,1.747242,-0.400418639542598
500,1.75209545,-0.356265406608242
500,1.7569489,-0.305038272090628
500,1.76180235,-0.258888724141588
500,1.7666558,-0.210719565061034
500,1.77150925,-0.167097743183529
500,1.7763627,-0.14479695672947
500,1.78121615,-0.122995646905661
500,1.7860696,-0.0912072799071574
500,1.79092305,-0.0887207877661393
500,1.7957765,-0.0791770117134843
500,1.80062995,-0.0714067972748511
500,1.8054834,-0.0492134791114953
500,1.81033685,-0.0276889119192096
500,1.8151903,-0.0121517962802435
500,1.82004375,0.00113290517279558
500,1.8248972,0.0263402454785852
500,1.82975065,0.034290639883059
500,1.8346041,0.0462340833106129
500,1.83945755,0.04955214926699
500,1.844311,0.0728264597652878
500,1.84916445,0.08964975172624
500,1.8540179,0.11399291130788
500,1.85887135,0.141361769759533
500,1.8637248,0.17032375544486
500,1.86857825,0.201729768062631
500,1.8734317,0.233014169708155
500,1.87828515,0.273957212001605
500,1.8831386,0.319448365445464
500,1.88799205,0.376645582228697
500,1.8928455,0.412678194073581
500,1.89769895,0.450218702377917
500,1.9025524,0.379269016950326
500,1.90740585,0.545105911300467
500,1.9122593,0.684081150696444
500,1.91711275,0.873293048231094
500,1.9219662,1.04354784092427
500,1.92681965,1.14395291425669
500,1.9316731,1.17387839162594
500,1.93652655,1.18560593283202
500,1.94138,1.18617436265062
500,1.94623345,1.18517405066781
500,1.9510869,1.18992106747779
500,1.95594035,1.16301842530143
500,1.9607938,1.09982500726702
500,1.96564725,1.02069837268507
500,1.9705007,0.945647304627458
500,1.97535415,0.906471205906126
500,1.9802076,1.00768113846857
500,1.98506105,1.05879896488727
500,1.9899145,1.13874595895407
500,1.99476795,1.17908631916777
500,1.9996214,1.17724496386488
500,2.00447485,1.18359891322099
500,2.0093283,1.1872493775664
