"If [A]","Distance [meter]","B_Rad2 []"
500,0,-0.00124201586624791
500,0.001213365,-0.00560464965694047
500,0.00242673,-0.0103877210308695
500,0.003640095,-0.0151707891880875
500,0.00485346,-0.0192744370108508
500,0.006066825,-0.0241623067948453
500,0.00728019,-0.0290493620214586
500,0.008493555,-0.0330569380377703
500,0.00970692,-0.0378357748329974
500,0.010920285,-0.0426135267242698
500,0.01213365,-0.0459202492397225
500,0.013347015,-0.0506587051497309
500,0.01456038,-0.0553956582516653
500,0.015773745,-0.0599931925343364
500,0.01698711,-0.0641440241897242
500,0.018200475,-0.0682944228658065
500,0.01941384,-0.0670714543167196
500,0.020627205,-0.0707160934725907
500,0.02184057,-0.0743593631403077
500,0.023053935,-0.0717592471721574
500,0.0242673,-0.0654036624740497
500,0.025480665,-0.0680144294269902
500,0.02669403,-0.0702578980225793
500,0.027907395,-0.071927334909696
500,0.02912076,-0.073593944874004
500,0.030334125,-0.075257726810369
500,0.03154749,-0.0844061366113909
500,0.032760855,-0.0863784497687398
500,0.03397422,-0.0883513170148164
500,0.035187585,-0.0946818039322293
500,0.03640095,-0.102948203681511
500,0.037614315,-0.111213649757991
500,0.03882768,-0.121295213444987
500,0.040041045,-0.131228312384877
500,0.04125441,-0.141158917438997
500,0.042467775,-0.151633380018519
500,0.04368114,-0.162435798251005
500,0.044894505,-0.173235511727102
500,0.04610787,-0.182434375148844
500,0.047321235,-0.189860013177732
500,0.0485346,-0.197283042354104
500,0.049747965,-0.204367999898876
500,0.05096133,-0.212764392364899
500,0.052174695,-0.221157733131067
500,0.05338806,-0.229908582049686
500,0.054601425,-0.23896886091099
500,0.05581479,-0.248025795049191
500,0.057028155,-0.257332533623465
500,0.05824152,-0.267821736876173
500,0.059454885,-0.278306916374916
500,0.06066825,-0.288788066659133
500,0.061881615,-0.300345850013239
500,0.06309498,-0.312116210748639
500,0.064308345,-0.323881769462264
500,0.06552171,-0.333057360363484
500,0.066735075,-0.348011950018226
500,0.06794844,-0.362960154529047
500,0.069161805,-0.378382346655177
500,0.07037517,-0.394172138159294
500,0.071588535,-0.409954318005225
500,0.0728019,-0.427355390582282
500,0.074015265,-0.445889330633943
500,0.07522863,-0.464412744511364
500,0.076441995,-0.464990975865369
500,0.07765536,-0.486654225767793
500,0.078868725,-0.508297700450524
500,0.08008209,-0.530022216922712
500,0.081295455,-0.55179621124329
500,0.08250882,-0.57354891025297
500,0.083722185,-0.595911089115027
500,0.08493555,-0.601436259460977
500,0.086148915,-0.606945326836188
500,0.08736228,-0.611730870385707
500,0.088575645,-0.616360093862274
500,0.08978901,-0.620986028267209
500,0.091002375,-0.625608671449831
500,0.09221574,-0.688395392230967
500,0.093429105,-0.705686548260922
500,0.09464247,-0.722998966171935
500,0.095855835,-0.747188341648571
500,0.0970692,-0.77266799673332
500,0.098282565,-0.798180729844587
500,0.09949593,-0.867266121327263
500,0.100709295,-0.902332302446512
500,0.10192266,-0.93744888127219
500,0.103136025,-0.975490951016174
500,0.10434939,-1.01542185359324
500,0.105562755,-1.05540096065638
500,0.10677612,-1.03484667262719
500,0.107989485,-1.05394317148281
500,0.10920285,-1.07304649470317
500,0.110416215,-1.09295167601168
500,0.11162958,-1.11128115552445
500,0.112842945,-1.12960520360823
500,0.11405631,-1.14652593355789
500,0.115269675,-1.15260935623804
500,0.11648304,-1.1586863754198
500,0.117696405,-1.16690883981939
500,0.11890977,-1.16790132567911
500,0.120123135,-1.16888996310263
500,0.1213365,-1.16987475543372
500,0.122549865,-1.17043755799677
500,0.12376323,-1.17058741986258
500,0.124976595,-1.17073422365375
500,0.12618996,-1.17206014788153
500,0.127403325,-1.17221732013281
500,0.12861669,-1.17237193218784
500,0.129830055,-1.1730305820584
500,0.13104342,-1.17382765547356
500,0.132256785,-1.174621852671
500,0.13347015,-1.16817474200047
500,0.134683515,-1.16930892154971
500,0.13589688,-1.17043696583163
500,0.137110245,-1.17004358560069
500,0.13832361,-1.16932647236599
500,0.139536975,-1.16860096698524
500,0.14075034,-1.16347835888443
500,0.141963705,-1.15818210192968
500,0.14317707,-1.15286866897841
500,0.144390435,-1.1455752411886
500,0.1456038,-1.13322737720929
500,0.146817165,-1.12086046616643
500,0.14803053,-1.12844607602597
500,0.149243895,-1.10053415612382
500,0.15045726,-1.07261314436214
500,0.151670625,-1.04468305351839
500,0.15288399,-1.01388847661444
500,0.154097355,-0.982789945024931
500,0.15531072,-0.951696548343297
500,0.156524085,-0.964544323511529
500,0.15773745,-0.94105712654661
500,0.158950815,-0.91759565250523
500,0.16016418,-0.94058277807605
500,0.161377545,-0.938424836188542
500,0.16259091,-0.936296951522315
500,0.163804275,-0.938336646416702
500,0.16501764,-0.946452826355465
500,0.166231005,-0.954604301547354
500,0.16744437,-0.921129253199565
500,0.168657735,-0.952510657473778
500,0.1698711,-0.983904116130267
500,0.171084465,-1.0156368553654
500,0.17229783,-1.04523674530501
500,0.173511195,-1.07483293023914
500,0.17472456,-1.07387325511077
500,0.175937925,-1.09402941035638
500,0.17715129,-1.11416782915253
500,0.178364655,-1.14353183342135
500,0.17957802,-1.14719929486371
500,0.180791385,-1.15085271560495
500,0.18200475,-1.15449209501409
500,0.183218115,-1.1743069291295
500,0.18443148,-1.17385171955842
500,0.185644845,-1.17338824642336
500,0.18685821,-1.1731863847753
500,0.188071575,-1.1729750556292
500,0.18928494,-1.17275860381118
500,0.190498305,-1.17818088730681
500,0.19171167,-1.17810706395417
500,0.192925035,-1.17803004517341
