"If [A]","Time [ms]","fpp []"
100,20,-0.0966989633947155
100,20.2,-0.0906307625800288
100,20.4,-0.0845834279683651
100,20.6,-0.0782120856634327
100,20.8,-0.0716723425694309
100,21,-0.0651967072132769
100,21.2,-0.0590015223098634
100,21.4,-0.0529786911921761
100,21.6,-0.0466599841672486
100,21.8,-0.0400947320835463
100,22,-0.0335793074501045
100,22.2,-0.0273040610283878
100,22.4,-0.0213143900020954
100,22.6,-0.0151629598649014
100,22.8,-0.00865104171950163
100,23,-0.00206337422769394
100,23.2,0.0043478944433438
100,23.4,0.0104285433697854
100,23.6,0.0164928474039923
100,23.8,0.0228637422548989
100,24,0.0293945990651604
100,24.2,0.0358711190692315
100,24.4,0.0420385923856999
100,24.6,0.048063680726359
100,24.8,0.0543767747071561
100,25,0.060938842636506
100,25.2,0.0675193262934061
100,25.4,0.0738051904219647
100,25.6,0.079786930730321
100,25.8,0.0859466312787647
100,26,0.0924238929535594
100,26.2,0.099022173011791
100,26.4,0.105329922972543
100,26.6,0.109859861933556
100,26.8,0.112688981463532
100,27,0.114854892960363
100,27.2,0.116517429680707
100,27.4,0.117544145042855
100,27.6,0.117991640090139
100,27.8,0.118149629570525
100,28,0.118396580029671
100,28.2,0.118675885168752
100,28.4,0.11854816737785
100,28.6,0.117926566708344
100,28.8,0.116889469324742
100,29,0.115737708471714
100,29.2,0.114434196810103
100,29.4,0.112386568236392
100,29.6,0.108827249143707
100,29.7999999999999,0.103092305907836
100,29.9999999999999,0.0966894596813561
100,30.1999999999999,0.0906174737698517
100,30.3999999999999,0.084569849596886
100,30.5999999999999,0.0782020903953215
100,30.7999999999999,0.0716628181026195
100,30.9999999999999,0.0651766751000136
100,31.1999999999999,0.0589869292504182
100,31.3999999999999,0.0529648546568233
100,31.5999999999999,0.0466503481242165
100,31.7999999999999,0.0400848218204774
100,31.9999999999999,0.0335622521650796
100,32.1999999999999,0.0272915291908482
100,32.3999999999999,0.0213003052480832
100,32.5999999999999,0.0151522007789828
100,32.7999999999999,0.00864357068750547
100,32.9999999999999,0.00205062069228331
100,33.1999999999999,-0.00436394418538427
100,33.3999999999999,-0.0104428756498503
100,33.5999999999999,-0.0165085636217539
100,33.7999999999999,-0.0228754008673184
100,33.9999999999999,-0.0294085228391685
100,34.1999999999999,-0.0358859625337428
100,34.3999999999999,-0.0420531606463687
100,34.5999999999999,-0.0480819025092782
100,34.7999999999999,-0.0543875953120888
100,34.9999999999999,-0.0609589729865586
100,35.1999999999999,-0.0675291100153119
100,35.3999999999999,-0.0738199711668166
100,35.5999999999999,-0.0798015516566183
100,35.7999999999999,-0.0859624256950576
100,35.9999999999999,-0.0924412431949357
100,36.1999999999999,-0.0990365385449143
100,36.3999999999999,-0.105344921958683
100,36.5999999999999,-0.109876383228748
100,36.7999999999999,-0.112703011567407
100,36.9999999999999,-0.11486599092788
100,37.1999999999999,-0.116529459767229
100,37.3999999999999,-0.117560078272501
100,37.5999999999999,-0.118011581329359
100,37.7999999999999,-0.11816935129578
100,37.9999999999999,-0.118407694941467
100,38.1999999999999,-0.11868861727826
100,38.3999999999999,-0.118561385785426
100,38.5999999999999,-0.117942876701133
100,38.7999999999999,-0.116894081063692
100,38.9999999999999,-0.115739551861794
100,39.1999999999999,-0.114434578527547
100,39.3999999999999,-0.11238415641542
100,39.5999999999999,-0.108815739138969
100,39.7999999999999,-0.103084419664117
100,39.9999999999999,-0.0966850772268279
100,40.1999999999999,-0.0906131166543192
200,20,-0.193862662320252
200,20.2,-0.181702465739769
200,20.4,-0.169584207572255
200,20.6,-0.156814401419714
200,20.8,-0.143704103638361
200,21,-0.130722260391173
200,21.2,-0.118304005232532
200,21.4,-0.106232174042455
200,21.6,-0.093564932374077
200,21.8,-0.0804004557052301
200,22,-0.0673349653461408
200,22.2,-0.0547525458784959
200,22.4,-0.0427440055601633
200,22.6,-0.0304100248737852
200,22.8,-0.0173510548300381
200,23,-0.00413942517831873
200,23.2,0.00871636895325935
200,23.4,0.020908321077052
200,23.6,0.0330677211576563
200,23.8,0.0458433130101553
200,24,0.058940713671443
200,24.2,0.0719273701139864
200,24.4,0.0842918597863489
200,24.6,0.0963696773635401
200,24.8,0.109026084345496
200,25,0.12218309895161
200,25.2,0.135376011810518
200,25.4,0.147975527874941
200,25.6,0.159963492497111
200,25.8,0.172309112695924
200,26,0.185292291881078
200,26.2,0.198518000453933
200,26.4,0.211159152763978
200,26.6,0.220235845779065
200,26.8,0.225905239042255
200,27,0.230247751845114
200,27.2,0.233582398455772
200,27.4,0.235641007543088
200,27.6,0.236536553316125
200,27.8,0.23685250099675
200,28,0.237347848366741
200,28.2,0.237909308366462
200,28.4,0.237654267356054
200,28.6,0.236407267893466
200,28.8,0.234327085646911
200,29,0.232018735606931
200,29.2,0.229407547709216
200,29.4,0.225304787109875
200,29.6,0.218170387677342
200,29.7999999999999,0.206674371554849
200,29.9999999999999,0.193840655341495
200,30.1999999999999,0.181672696836103
200,30.3999999999999,0.169553985738833
200,30.5999999999999,0.156791449302954
200,30.7999999999999,0.143682160983871
200,30.9999999999999,0.130679329555011
200,31.1999999999999,0.118272072909017
200,31.3999999999999,0.106201882667851
200,31.5999999999999,0.0935431441243758
200,31.7999999999999,0.0803782124385683
200,31.9999999999999,0.0672984646648124
200,32.1999999999999,0.0547251844715693
200,32.3999999999999,0.0427136563430806
200,32.5999999999999,0.030386471346835
200,32.7999999999999,0.0173341639693383
200,32.9999999999999,0.00411198913844411
200,33.1999999999999,-0.00875030985298359
200,33.3999999999999,-0.0209387310655365
200,33.5999999999999,-0.0331007753207843
200,33.7999999999999,-0.0458681352593683
200,33.9999999999999,-0.0589700304768742
200,34.1999999999999,-0.0719584526587553
200,34.3999999999999,-0.0843222950027223
200,34.5999999999999,-0.0964073227204723
200,34.7999999999999,-0.109048778274628
200,34.9999999999999,-0.122224333883519
200,35.1999999999999,-0.1353964537157
200,35.3999999999999,-0.148005883911771
200,35.5999999999999,-0.159993479436192
